"Subject" "StartTime" "Range" "RealAngle" "Error" "ResponseAngle" "RealTime"
1 179 0 151 -27.3099325 123.690068 679
1 179 0 287 -17 270 679
1 179 0 62 -35.4349488 26.5650512 679
1 179 0 264 -47.1301024 216.869898 679
1 150 100 183 -56.1301024 126.869898 676
1 150 100 93 -36.6900675 56.3099325 725
1 150 100 332 -38.8014095 293.198591 692
1 150 100 195 -41.5650512 153.434949 722
1 150 100 26 -22.4236656 3.57633437 734
1 150 100 316 -36.5376778 279.462322 730
1 150 100 83 -26.0238676 56.9761324 721
1 150 100 195 -41.5650512 153.434949 742
1 150 100 314 -39.6012946 274.398705 674
1 150 100 302 -28.6335393 273.366461 729
1 150 100 131 -22.5650512 108.434949 677
1 150 100 151 -27.3099325 123.690068 735
1 150 100 331 -16 315 723
1 150 100 335 -27.1250163 307.874984 708
1 150 100 258 -59.5650512 198.434949 679
1 150 100 126 -36 90 732
1 150 100 226 -46 180 706
1 150 100 276 -65.0362435 210.963757 699
1 150 100 219 -57.4349488 161.565051 750
1 150 100 100 -36.5650512 63.4349488 683
1 175 50 164 -38.4623222 125.537678 721
1 175 50 174 -57.4349488 116.565051 682
1 175 50 358 -19.8014095 338.198591 705
1 175 50 139 -34.9637565 104.036243 699
1 175 50 163 -46.4349488 116.565051 689
1 175 50 260 -56.8014095 203.198591 713
1 175 50 202 -67 135 689
1 175 50 85 -44.3987054 40.6012946 697
1 175 50 101 -44.6900675 56.3099325 682
1 175 50 114 -24 90 709
1 100 200 64 -42.1985905 21.8014095 614
1 100 200 50 -35.9637565 14.0362435 781
1 100 200 236 -37.5650512 198.434949 761
1 100 200 116 -26 90 678
1 100 200 219 -24.9637565 194.036243 643
1 100 200 221 -41 180 651
1 100 200 130 -28.6900675 101.309932 666
1 100 200 51 -41.5376778 9.46232221 726
1 100 200 263 -52.0362435 210.963757 611
1 100 200 298 -54.5650512 243.434949 718
1 100 200 117 -27 90 748
1 50 300 179 -55.3099325 123.690068 702
1 50 300 294 -45.8014095 248.198591 737
1 50 300 92 -55.1301024 36.8698976 609
1 50 300 256 -57.5650512 198.434949 706
1 50 300 187 -33.5650512 153.434949 575
1 50 300 146 -19.1301024 126.869898 834
1 50 300 189 -54 135 613
1 50 300 112 -22 90 771
1 50 300 344 -24.2363583 319.763642 575
1 50 300 111 -21 90 622
1 50 300 291 -14.6598083 276.340192 644
2 175 50 293 -20.5104471 272.489553 694
2 175 50 81 -12.4477363 68.5522637 712
2 175 50 186 -20.0362435 165.963757 691
2 175 50 69 -13.9920202 55.0079798 710
2 175 50 279 -24.2551187 254.744881 690
2 175 50 47 -20.4349488 26.5650512 722
2 175 50 313 -24.5650512 288.434949 690
2 175 50 150 -12.273689 137.726311 712
2 175 50 63 -29.3099325 33.6900675 683
2 175 50 137 -8.34019175 128.659808 684
2 175 50 356 -6.7388971 349.261103 715
2 175 50 150 -6.86989765 143.130102 697
2 189 0 206 -17.8698976 188.130102 689
2 189 0 244 -33.0362435 210.963757 689
2 189 0 135 -21.8014095 113.198591 689
2 189 0 160 -13.6900675 146.309932 689
2 189 0 211 -31 180 689
2 189 0 107 -17 90 689
2 189 0 287 -24.1250163 262.874984 689
2 189 0 314 -35.8698976 278.130102 689
2 189 0 162 -11.0546041 150.945396 689
2 189 0 100 -16.3401917 83.6598083 689
2 189 0 177 -8.30993247 168.690068 689
2 189 0 173 -19.5650512 153.434949 689
2 100 200 213 -24.8698976 188.130102 776
2 100 200 318 -29.4170004 288.583 773
2 100 200 271 -45.3704014 225.629599 690
2 100 200 161 -8.25532837 152.744672 659
2 100 200 20 -16.1859252 3.81407483 778
2 100 200 331 -8.30394828 322.696052 662
2 100 200 105 -8.65980825 96.3401917 687
2 100 200 356 -17.8014095 338.198591 694
2 100 200 265 -14.179008 250.820992 674
2 100 200 204 -20.308614 183.691386 760
2 100 200 335 -8.69006753 326.309932 769
2 100 200 270 -19.9037495 250.09625 615
2 86 0 125 -12.3801351 112.619865 586
2 86 0 258 -11.4985657 246.501434 586
2 86 0 40 -13.4349488 26.5650512 586
2 86 0 334 -18.0289781 315.971022 586
2 86 0 154 -3.35775354 150.642246 586
2 86 0 227 -23.8014095 203.198591 586
2 86 0 136 -13.9946168 122.005383 586
2 86 0 250 -22.9786351 227.021365 586
2 86 0 123 -20.7995313 102.200469 586
2 86 0 268 -30.2756443 237.724356 586
2 86 0 298 -13.9637565 284.036243 586
2 86 0 265 -15.3231368 249.676863 586
2 175 50 215 -23.6900675 191.309932 717
2 175 50 55 -19.4623222 35.5376778 693
2 175 50 286 -11.7636052 274.236395 677
2 175 50 98 -17.782407 80.217593 687
2 175 50 274 -21.102729 252.897271 705
2 175 50 274 -20.5043614 253.495639 713
2 175 50 111 -16.2363583 94.7636417 696
2 175 50 329 -16.726311 312.273689 710
2 175 50 25 -12.7352263 12.2647737 722
2 175 50 288 -14.6335393 273.366461 685
2 175 50 47 -32.5792269 14.4207731 677
2 175 50 186 -27.8014095 158.198591 698
2 50 300 309 -19.820992 289.179008 840
2 50 300 224 -26.897271 197.102729 848
2 50 300 112 -14.8749837 97.1250163 575
2 50 300 270 -11.0035409 258.996459 607
2 50 300 249 -12.6900675 236.309932 558
2 50 300 325 -13.0127875 311.987212 847
2 50 300 198 -6.69006753 191.309932 734
2 50 300 345 -20.5376778 324.462322 587
2 50 300 209 -21.8749837 187.125016 703
2 50 300 30 -24.8055711 5.19442891 598
2 50 300 211 -16.9637565 194.036243 683
2 50 300 36 -16.3461759 19.6538241 778
2 100 200 125 -13.7494945 111.250506 686
2 100 200 56 -29.4349488 26.5650512 649
2 100 200 13 -11.363423 1.63657704 796
2 100 200 135 -23.1985905 111.801409 619
2 100 200 247 -9.00538321 237.994617 662
2 100 200 155 -28.1301024 126.869898 755
2 100 200 219 -19.820992 199.179008 694
2 100 200 321 -31.5599652 289.440035 786
2 100 200 345 -7.75097634 337.249024 676
2 100 200 261 -22.2637317 238.736268 619
2 100 200 312 -22.0168935 289.983107 644
2 50 300 47 -21.7988764 25.2011236 606
2 50 300 160 -20.9143832 139.085617 836
2 50 300 135 -11.3099325 123.690068 664
2 50 300 247 -19.273689 227.726311 753
